p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.549109187127247e-145	1.404178970008406	0.105	0.002	2.851525013253575e-140	7	1700020G17Rik
3.028331172065342e-99	1.3988607285758925	0.119	0.008	1.1438915336242417e-94	7	Cdc14a
3.945039963286654e-152	1.389444162992155	0.131	0.004	1.4901599453322678e-147	7	Prss37
1.720574551407983e-32	1.3809872212483305	0.151	0.037	6.499126253033374e-28	8	Rps8
1.1338071673704727e-242	1.3800115522343726	0.455	0.059	4.282729813308486e-238	6	Psma6
2.788363701229741e-87	1.379629765973995	0.115	0.009	1.05324862086551e-82	7	Lrrc74a
2.5408737611514436e-215	1.3764639369194662	0.348	0.037	9.597642457997348e-211	6	Pmfbp1
1.6188666807821297e-102	1.3762137690619802	0.129	0.009	6.114945113318338e-98	7	Fam166a
2.040506461896568e-132	1.3741693326445512	0.144	0.01	7.707605058521906e-128	5	mt-Nd5
1.395675207497925e-77	1.3706413079153108	0.131	0.014	5.271883961281912e-73	7	Ubr7
0	1.3587885397587396	0.679	0.18	0	1	NDRG1
1.7885912894280886e-161	1.3583110368753681	0.27	0.047	6.75604587755672e-157	3	HLA-DRA
1.3945286201538448e-75	1.3578009522065408	0.115	0.011	5.267552956907118e-71	7	Acsbg2
1.0214175301920147e-135	1.3553905729335325	0.208	0.032	3.858200436794297e-131	3	CHI3L2
2.5003877521111388e-129	1.354007813793231	0.124	0.005	9.444714656049405e-125	7	Rexo1
1.0690221285026908e-122	1.3516289961249788	0.169	0.018	4.038017285993214e-118	5	Sycp1
2.216464400338935e-131	1.3457867015326328	0.107	0.003	8.372250979400259e-127	7	Dlgap4
7.090860568563572e-48	1.3373409118471373	0.151	0.026	2.678430762563518e-43	8	mt-Cytb
4.659695279491287e-124	1.335981874109711	0.122	0.005	1.7601066979222438e-119	7	Dnajc9
9.912902372705993e-87	1.3299355404230575	0.124	0.011	3.7444006132422346e-82	7	Tmem191c
1.353940036793589e-112	1.3298444013287771	0.127	0.007	5.114237700980423e-108	7	Gm16226
2.3165220776390666e-186	1.3297302863766483	0.267	0.024	8.750198843866047e-182	6	Fam205c
1.5499117055325305e-30	1.3292169062679033	0.185	0.055	5.854481485308027e-26	8	Rplp1
7.53299474846718e-94	1.3262123240605248	0.119	0.008	2.8454381063385078e-89	7	Hipk1
1.8038241193305318e-76	1.3198173794724712	0.225	0.044	6.813584845947218e-72	7	Scp2d1
3.778787504319155e-219	1.3184483671968164	0.46	0.068	1.4273614040064743e-214	6	Spata6
1.2096165355554865e-200	1.3178223884955407	0.343	0.039	4.569084539753739e-196	6	Ms4a14
4.6952524862171574e-38	1.3160050342793053	0.115	0.019	1.773537721618807e-33	8	Rpl3
